word,lemma,notes
бример,бример,No audio in Lingua Libre (needs Common Voice or recording)
преврат,преврат,No audio in Lingua Libre (needs Common Voice or recording)
државниот,државниот,No audio in Lingua Libre (needs Common Voice or recording)
случува,случува,No audio in Lingua Libre (needs Common Voice or recording)
франција,франција,No audio in Lingua Libre (needs Common Voice or recording)
последна,последна,No audio in Lingua Libre (needs Common Voice or recording)
параметри,параметри,No audio in Lingua Libre (needs Common Voice or recording)
физички,физички,No audio in Lingua Libre (needs Common Voice or recording)
елементи,елементи,No audio in Lingua Libre (needs Common Voice or recording)
орбитални,орбитални,No audio in Lingua Libre (needs Common Voice or recording)
орбитата,орбитата,No audio in Lingua Libre (needs Common Voice or recording)
шема,шема,No audio in Lingua Libre (needs Common Voice or recording)
небесни,небесни,No audio in Lingua Libre (needs Common Voice or recording)
мали,мали,No audio in Lingua Libre (needs Common Voice or recording)
престолот,престолот,No audio in Lingua Libre (needs Common Voice or recording)
симнат,симнат,No audio in Lingua Libre (needs Common Voice or recording)
оженил,оженил,No audio in Lingua Libre (needs Common Voice or recording)
шведскиот,шведскиот,No audio in Lingua Libre (needs Common Voice or recording)
мансдотер,мансдотер,No audio in Lingua Libre (needs Common Voice or recording)
чест,чест,No audio in Lingua Libre (needs Common Voice or recording)
именуван,именуван,No audio in Lingua Libre (needs Common Voice or recording)
км,км,No audio in Lingua Libre (needs Common Voice or recording)
типот,типот,No audio in Lingua Libre (needs Common Voice or recording)
години,години,No audio in Lingua Libre (needs Common Voice or recording)
судир,судир,No audio in Lingua Libre (needs Common Voice or recording)
создало,создало,No audio in Lingua Libre (needs Common Voice or recording)
младо,младо,No audio in Lingua Libre (needs Common Voice or recording)
мошне,мошне,No audio in Lingua Libre (needs Common Voice or recording)
забележливо,забележливо,No audio in Lingua Libre (needs Common Voice or recording)
откриено,откриено,No audio in Lingua Libre (needs Common Voice or recording)
именувано,именувано,No audio in Lingua Libre (needs Common Voice or recording)
каринското,каринското,No audio in Lingua Libre (needs Common Voice or recording)
член,член,No audio in Lingua Libre (needs Common Voice or recording)
најсветлиот,најсветлиот,No audio in Lingua Libre (needs Common Voice or recording)
најголемиот,најголемиот,No audio in Lingua Libre (needs Common Voice or recording)
сонцето,сонцето,No audio in Lingua Libre (needs Common Voice or recording)
орбита,орбита,No audio in Lingua Libre (needs Common Voice or recording)
роден,роден,No audio in Lingua Libre (needs Common Voice or recording)
винци,винци,No audio in Lingua Libre (needs Common Voice or recording)
пјетро,пјетро,No audio in Lingua Libre (needs Common Voice or recording)
починал,починал,No audio in Lingua Libre (needs Common Voice or recording)
алтенбург,алтенбург,No audio in Lingua Libre (needs Common Voice or recording)
мајкл,мајкл,No audio in Lingua Libre (needs Common Voice or recording)
омилена,омилена,No audio in Lingua Libre (needs Common Voice or recording)
твојата,твојата,No audio in Lingua Libre (needs Common Voice or recording)
викаш,викаш,No audio in Lingua Libre (needs Common Voice or recording)
супер,супер,No audio in Lingua Libre (needs Common Voice or recording)
уморен,уморен,No audio in Lingua Libre (needs Common Voice or recording)
гледаме,гледаме,No audio in Lingua Libre (needs Common Voice or recording)
гледен,гледен,No audio in Lingua Libre (needs Common Voice or recording)
жеден,жеден,No audio in Lingua Libre (needs Common Voice or recording)
крма,крма,No audio in Lingua Libre (needs Common Voice or recording)
деветта,деветта,No audio in Lingua Libre (needs Common Voice or recording)
рефлекторски,рефлекторски,No audio in Lingua Libre (needs Common Voice or recording)
џон,џон,No audio in Lingua Libre (needs Common Voice or recording)
нивната,нивната,No audio in Lingua Libre (needs Common Voice or recording)
тематика,тематика,No audio in Lingua Libre (needs Common Voice or recording)
нивни,нивни,No audio in Lingua Libre (needs Common Voice or recording)
војски,војски,No audio in Lingua Libre (needs Common Voice or recording)
композиција,композиција,No audio in Lingua Libre (needs Common Voice or recording)
темпо,темпо,No audio in Lingua Libre (needs Common Voice or recording)
гитари,гитари,No audio in Lingua Libre (needs Common Voice or recording)
останатите,останатите,No audio in Lingua Libre (needs Common Voice or recording)
нашла,нашла,No audio in Lingua Libre (needs Common Voice or recording)
тема,тема,No audio in Lingua Libre (needs Common Voice or recording)
воедно,воедно,No audio in Lingua Libre (needs Common Voice or recording)
му,му,No audio in Lingua Libre (needs Common Voice or recording)
песнава,песнава,No audio in Lingua Libre (needs Common Voice or recording)
соло,соло,No audio in Lingua Libre (needs Common Voice or recording)
сексуални,сексуални,No audio in Lingua Libre (needs Common Voice or recording)
авторство,авторство,No audio in Lingua Libre (needs Common Voice or recording)
грешниците,грешниците,No audio in Lingua Libre (needs Common Voice or recording)
ќе,ќе,No audio in Lingua Libre (needs Common Voice or recording)
кажува,кажува,No audio in Lingua Libre (needs Common Voice or recording)
концертите,концертите,No audio in Lingua Libre (needs Common Voice or recording)
свират,свират,No audio in Lingua Libre (needs Common Voice or recording)
нумери,нумери,No audio in Lingua Libre (needs Common Voice or recording)
неа,неа,No audio in Lingua Libre (needs Common Voice or recording)
обожаватели,обожаватели,No audio in Lingua Libre (needs Common Voice or recording)
демо,демо,No audio in Lingua Libre (needs Common Voice or recording)
нумера,нумера,No audio in Lingua Libre (needs Common Voice or recording)
ларс,ларс,No audio in Lingua Libre (needs Common Voice or recording)
бенд,бенд,No audio in Lingua Libre (needs Common Voice or recording)
песни,песни,No audio in Lingua Libre (needs Common Voice or recording)
издаден,издаден,No audio in Lingua Libre (needs Common Voice or recording)
ерик,ерик,No audio in Lingua Libre (needs Common Voice or recording)
береникина,береникина,No audio in Lingua Libre (needs Common Voice or recording)
фрост,фрост,No audio in Lingua Libre (needs Common Voice or recording)
харвуд,харвуд,No audio in Lingua Libre (needs Common Voice or recording)
ројал,ројал,No audio in Lingua Libre (needs Common Voice or recording)
девица,девица,No audio in Lingua Libre (needs Common Voice or recording)
осма,осма,No audio in Lingua Libre (needs Common Voice or recording)
музиката,музиката,No audio in Lingua Libre (needs Common Voice or recording)
опсерваторија,опсерваторија,No audio in Lingua Libre (needs Common Voice or recording)
паломарската,паломарската,No audio in Lingua Libre (needs Common Voice or recording)
спроведено,спроведено,No audio in Lingua Libre (needs Common Voice or recording)
истражување,истражување,No audio in Lingua Libre (needs Common Voice or recording)
фотографското,фотографското,No audio in Lingua Libre (needs Common Voice or recording)
забележан,забележан,No audio in Lingua Libre (needs Common Voice or recording)
групиран,групиран,No audio in Lingua Libre (needs Common Voice or recording)
ѕвезди,ѕвезди,No audio in Lingua Libre (needs Common Voice or recording)
основни,основни,No audio in Lingua Libre (needs Common Voice or recording)
означена,означена,No audio in Lingua Libre (needs Common Voice or recording)
припаѓа,припаѓа,No audio in Lingua Libre (needs Common Voice or recording)
уранометрија,уранометрија,No audio in Lingua Libre (needs Common Voice or recording)
атласот,атласот,No audio in Lingua Libre (needs Common Voice or recording)
см,см,No audio in Lingua Libre (needs Common Voice or recording)
имала,имала,No audio in Lingua Libre (needs Common Voice or recording)
чијашто,чијашто,No audio in Lingua Libre (needs Common Voice or recording)
бартон,бартон,No audio in Lingua Libre (needs Common Voice or recording)
бас,бас,No audio in Lingua Libre (needs Common Voice or recording)
насловот,насловот,No audio in Lingua Libre (needs Common Voice or recording)
прва,прва,No audio in Lingua Libre (needs Common Voice or recording)
живо,живо,No audio in Lingua Libre (needs Common Voice or recording)
џејмс,џејмс,No audio in Lingua Libre (needs Common Voice or recording)
имаат,имаат,No audio in Lingua Libre (needs Common Voice or recording)
албуми,албуми,No audio in Lingua Libre (needs Common Voice or recording)
треш,треш,No audio in Lingua Libre (needs Common Voice or recording)
архитектурата,архитектурата,No audio in Lingua Libre (needs Common Voice or recording)
милиони,милиони,No audio in Lingua Libre (needs Common Voice or recording)
само,само,No audio in Lingua Libre (needs Common Voice or recording)
при,при,No audio in Lingua Libre (needs Common Voice or recording)
кое,кое,No audio in Lingua Libre (needs Common Voice or recording)
објекти,објекти,No audio in Lingua Libre (needs Common Voice or recording)
износ,износ,No audio in Lingua Libre (needs Common Voice or recording)
положбениот,положбениот,No audio in Lingua Libre (needs Common Voice or recording)
втора,втора,No audio in Lingua Libre (needs Common Voice or recording)
добро,добро,No audio in Lingua Libre (needs Common Voice or recording)
нема,нема,No audio in Lingua Libre (needs Common Voice or recording)
оние,оние,No audio in Lingua Libre (needs Common Voice or recording)
мастејн,мастејн,No audio in Lingua Libre (needs Common Voice or recording)
нивните,нивните,No audio in Lingua Libre (needs Common Voice or recording)
улрих,улрих,No audio in Lingua Libre (needs Common Voice or recording)
текстот,текстот,No audio in Lingua Libre (needs Common Voice or recording)
ризницата,ризницата,No audio in Lingua Libre (needs Common Voice or recording)
култури,култури,No audio in Lingua Libre (needs Common Voice or recording)
календарите,календарите,No audio in Lingua Libre (needs Common Voice or recording)
поинаку,поинаку,No audio in Lingua Libre (needs Common Voice or recording)
блажената,блажената,No audio in Lingua Libre (needs Common Voice or recording)
достигне,достигне,No audio in Lingua Libre (needs Common Voice or recording)
основањето,основањето,No audio in Lingua Libre (needs Common Voice or recording)
пречник,пречник,No audio in Lingua Libre (needs Common Voice or recording)
освен,освен,No audio in Lingua Libre (needs Common Voice or recording)
истражувања,истражувања,No audio in Lingua Libre (needs Common Voice or recording)
предмет,предмет,No audio in Lingua Libre (needs Common Voice or recording)
настани,настани,No audio in Lingua Libre (needs Common Voice or recording)
значајни,значајни,No audio in Lingua Libre (needs Common Voice or recording)
содржи,содржи,No audio in Lingua Libre (needs Common Voice or recording)
си,си,No audio in Lingua Libre (needs Common Voice or recording)
карин,карин,No audio in Lingua Libre (needs Common Voice or recording)
лакот,лакот,No audio in Lingua Libre (needs Common Voice or recording)
висината,висината,No audio in Lingua Libre (needs Common Voice or recording)
деклинација,деклинација,No audio in Lingua Libre (needs Common Voice or recording)
пролетната,пролетната,No audio in Lingua Libre (needs Common Voice or recording)
теме,теме,No audio in Lingua Libre (needs Common Voice or recording)
небесниот,небесниот,No audio in Lingua Libre (needs Common Voice or recording)
еклиптиката,еклиптиката,No audio in Lingua Libre (needs Common Voice or recording)
измерен,измерен,No audio in Lingua Libre (needs Common Voice or recording)
аголот,аголот,No audio in Lingua Libre (needs Common Voice or recording)
ректасцензија,ректасцензија,No audio in Lingua Libre (needs Common Voice or recording)
димензии,димензии,No audio in Lingua Libre (needs Common Voice or recording)
привидни,привидни,No audio in Lingua Libre (needs Common Voice or recording)
лм,лм,No audio in Lingua Libre (needs Common Voice or recording)
површинскиот,површинскиот,No audio in Lingua Libre (needs Common Voice or recording)
честота,честота,No audio in Lingua Libre (needs Common Voice or recording)
максималната,максималната,No audio in Lingua Libre (needs Common Voice or recording)
минималната,минималната,No audio in Lingua Libre (needs Common Voice or recording)
интервалот,интервалот,No audio in Lingua Libre (needs Common Voice or recording)
оној,оној,No audio in Lingua Libre (needs Common Voice or recording)
заведена,заведена,No audio in Lingua Libre (needs Common Voice or recording)
некои,некои,No audio in Lingua Libre (needs Common Voice or recording)
групата,групата,No audio in Lingua Libre (needs Common Voice or recording)
оваа,оваа,No audio in Lingua Libre (needs Common Voice or recording)
албумот,албумот,No audio in Lingua Libre (needs Common Voice or recording)
овој,овој,No audio in Lingua Libre (needs Common Voice or recording)
наса,наса,No audio in Lingua Libre (needs Common Voice or recording)
вонгалактичка,вонгалактичка,No audio in Lingua Libre (needs Common Voice or recording)
информации,информации,No audio in Lingua Libre (needs Common Voice or recording)
поправени,поправени,No audio in Lingua Libre (needs Common Voice or recording)
прегледувач,прегледувач,No audio in Lingua Libre (needs Common Voice or recording)
ознаката,ознаката,No audio in Lingua Libre (needs Common Voice or recording)
галаксии,галаксии,No audio in Lingua Libre (needs Common Voice or recording)
најважните,најважните,No audio in Lingua Libre (needs Common Voice or recording)
поделба,поделба,No audio in Lingua Libre (needs Common Voice or recording)
критериуми,критериуми,No audio in Lingua Libre (needs Common Voice or recording)
различн,различн,No audio in Lingua Libre (needs Common Voice or recording)
збирки,збирки,No audio in Lingua Libre (needs Common Voice or recording)
познати,познати,No audio in Lingua Libre (needs Common Voice or recording)
вклучен,вклучен,No audio in Lingua Libre (needs Common Voice or recording)
истражувачи,истражувачи,No audio in Lingua Libre (needs Common Voice or recording)
вршено,вршено,No audio in Lingua Libre (needs Common Voice or recording)
проучување,проучување,No audio in Lingua Libre (needs Common Voice or recording)
епохата,епохата,No audio in Lingua Libre (needs Common Voice or recording)
голо,голо,No audio in Lingua Libre (needs Common Voice or recording)
видливиот,видливиот,No audio in Lingua Libre (needs Common Voice or recording)
видот,видот,No audio in Lingua Libre (needs Common Voice or recording)
галаксиите,галаксиите,No audio in Lingua Libre (needs Common Voice or recording)
класификација,класификација,No audio in Lingua Libre (needs Common Voice or recording)
морфолошката,морфолошката,No audio in Lingua Libre (needs Common Voice or recording)
набљудување,набљудување,No audio in Lingua Libre (needs Common Voice or recording)
откриен,откриен,No audio in Lingua Libre (needs Common Voice or recording)
длабоконебесни,длабоконебесни,No audio in Lingua Libre (needs Common Voice or recording)
каталог,каталог,No audio in Lingua Libre (needs Common Voice or recording)
општ,општ,No audio in Lingua Libre (needs Common Voice or recording)
новиот,новиот,No audio in Lingua Libre (needs Common Voice or recording)
соѕвездието,соѕвездието,No audio in Lingua Libre (needs Common Voice or recording)
откритија,откритија,No audio in Lingua Libre (needs Common Voice or recording)
ги,ги,No audio in Lingua Libre (needs Common Voice or recording)
песната,песната,No audio in Lingua Libre (needs Common Voice or recording)
вториот,вториот,No audio in Lingua Libre (needs Common Voice or recording)
по,по,No audio in Lingua Libre (needs Common Voice or recording)
повеќе,повеќе,No audio in Lingua Libre (needs Common Voice or recording)
откривање,откривање,No audio in Lingua Libre (needs Common Voice or recording)
споменува,споменува,No audio in Lingua Libre (needs Common Voice or recording)
тела,тела,No audio in Lingua Libre (needs Common Voice or recording)
календари,календари,No audio in Lingua Libre (needs Common Voice or recording)
бројни,бројни,No audio in Lingua Libre (needs Common Voice or recording)
броена,броена,No audio in Lingua Libre (needs Common Voice or recording)
бројот,бројот,No audio in Lingua Libre (needs Common Voice or recording)
хетфилд,хетфилд,No audio in Lingua Libre (needs Common Voice or recording)
сите,сите,No audio in Lingua Libre (needs Common Voice or recording)
кои,кои,No audio in Lingua Libre (needs Common Voice or recording)
ова,ова,No audio in Lingua Libre (needs Common Voice or recording)
поради,поради,No audio in Lingua Libre (needs Common Voice or recording)
под,под,No audio in Lingua Libre (needs Common Voice or recording)
длабокото,длабокото,No audio in Lingua Libre (needs Common Voice or recording)
каталогот,каталогот,No audio in Lingua Libre (needs Common Voice or recording)
металика,металика,No audio in Lingua Libre (needs Common Voice or recording)
која,која,No audio in Lingua Libre (needs Common Voice or recording)
односно,односно,No audio in Lingua Libre (needs Common Voice or recording)
исламска,исламска,No audio in Lingua Libre (needs Common Voice or recording)
сјај,сјај,No audio in Lingua Libre (needs Common Voice or recording)
медина,медина,No audio in Lingua Libre (needs Common Voice or recording)
мека,мека,No audio in Lingua Libre (needs Common Voice or recording)
мухамед,мухамед,No audio in Lingua Libre (needs Common Voice or recording)
пророкот,пророкот,No audio in Lingua Libre (needs Common Voice or recording)
пребегнувањето,пребегнувањето,No audio in Lingua Libre (needs Common Voice or recording)
нирвана,нирвана,No audio in Lingua Libre (needs Common Voice or recording)
достигнал,достигнал,No audio in Lingua Libre (needs Common Voice or recording)
којашто,којашто,No audio in Lingua Libre (needs Common Voice or recording)
кинеска,кинеска,No audio in Lingua Libre (needs Common Voice or recording)
второто,второто,No audio in Lingua Libre (needs Common Voice or recording)
начин,начин,No audio in Lingua Libre (needs Common Voice or recording)
владетел,владетел,No audio in Lingua Libre (needs Common Voice or recording)
станал,станал,No audio in Lingua Libre (needs Common Voice or recording)
жолтиот,жолтиот,No audio in Lingua Libre (needs Common Voice or recording)
земе,земе,No audio in Lingua Libre (needs Common Voice or recording)
треба,треба,No audio in Lingua Libre (needs Common Voice or recording)
почеток,почеток,No audio in Lingua Libre (needs Common Voice or recording)
легендарниот,легендарниот,No audio in Lingua Libre (needs Common Voice or recording)
владеењето,владеењето,No audio in Lingua Libre (needs Common Voice or recording)
годините,годините,No audio in Lingua Libre (needs Common Voice or recording)
броењето,броењето,No audio in Lingua Libre (needs Common Voice or recording)
мислења,мислења,No audio in Lingua Libre (needs Common Voice or recording)
поделени,поделени,No audio in Lingua Libre (needs Common Voice or recording)
постојат,постојат,No audio in Lingua Libre (needs Common Voice or recording)
избројана,избројана,No audio in Lingua Libre (needs Common Voice or recording)
познато,познато,No audio in Lingua Libre (needs Common Voice or recording)
основале,основале,No audio in Lingua Libre (needs Common Voice or recording)
рем,рем,No audio in Lingua Libre (needs Common Voice or recording)
ромул,ромул,No audio in Lingua Libre (needs Common Voice or recording)
браќата,браќата,No audio in Lingua Libre (needs Common Voice or recording)
римјаните,римјаните,No audio in Lingua Libre (needs Common Voice or recording)
календарот,календарот,No audio in Lingua Libre (needs Common Voice or recording)
еврејска,еврејска,No audio in Lingua Libre (needs Common Voice or recording)
евреите,евреите,No audio in Lingua Libre (needs Common Voice or recording)
понатаму,понатаму,No audio in Lingua Libre (needs Common Voice or recording)
асур,асур,No audio in Lingua Libre (needs Common Voice or recording)
граот,граот,No audio in Lingua Libre (needs Common Voice or recording)
изграден,изграден,No audio in Lingua Libre (needs Common Voice or recording)
проценува,проценува,No audio in Lingua Libre (needs Common Voice or recording)
библијата,библијата,No audio in Lingua Libre (needs Common Voice or recording)
римскиот,римскиот,No audio in Lingua Libre (needs Common Voice or recording)
вбројуваат,вбројуваат,No audio in Lingua Libre (needs Common Voice or recording)
попознатите,попознатите,No audio in Lingua Libre (needs Common Voice or recording)
народи,народи,No audio in Lingua Libre (needs Common Voice or recording)
различни,различни,No audio in Lingua Libre (needs Common Voice or recording)
тите,тите,No audio in Lingua Libre (needs Common Voice or recording)
милениум,милениум,No audio in Lingua Libre (needs Common Voice or recording)
новата,новата,No audio in Lingua Libre (needs Common Voice or recording)
била,била,No audio in Lingua Libre (needs Common Voice or recording)
општоприфатениот,општоприфатениот,No audio in Lingua Libre (needs Common Voice or recording)
неговата,неговата,No audio in Lingua Libre (needs Common Voice or recording)
податоци,податоци,No audio in Lingua Libre (needs Common Voice or recording)
првото,првото,No audio in Lingua Libre (needs Common Voice or recording)
едни,едни,No audio in Lingua Libre (needs Common Voice or recording)
почетокот,почетокот,No audio in Lingua Libre (needs Common Voice or recording)
две,две,No audio in Lingua Libre (needs Common Voice or recording)
пак,пак,No audio in Lingua Libre (needs Common Voice or recording)
градот,градот,No audio in Lingua Libre (needs Common Voice or recording)
позната,позната,No audio in Lingua Libre (needs Common Voice or recording)
околу,околу,No audio in Lingua Libre (needs Common Voice or recording)
станува,станува,No audio in Lingua Libre (needs Common Voice or recording)
страна,страна,No audio in Lingua Libre (needs Common Voice or recording)
што,што,No audio in Lingua Libre (needs Common Voice or recording)
смета,смета,No audio in Lingua Libre (needs Common Voice or recording)
состојба,состојба,No audio in Lingua Libre (needs Common Voice or recording)
буда,буда,No audio in Lingua Libre (needs Common Voice or recording)
рим,рим,No audio in Lingua Libre (needs Common Voice or recording)
истата,истата,No audio in Lingua Libre (needs Common Voice or recording)
една,една,No audio in Lingua Libre (needs Common Voice or recording)
изнесува,изнесува,No audio in Lingua Libre (needs Common Voice or recording)
среќава,среќава,No audio in Lingua Libre (needs Common Voice or recording)
бил,бил,No audio in Lingua Libre (needs Common Voice or recording)
меѓу,меѓу,No audio in Lingua Libre (needs Common Voice or recording)
првиот,првиот,No audio in Lingua Libre (needs Common Voice or recording)
хиџра,хиџра,No audio in Lingua Libre (needs Common Voice or recording)
рамките,рамките,No audio in Lingua Libre (needs Common Voice or recording)
така,така,No audio in Lingua Libre (needs Common Voice or recording)
па,па,No audio in Lingua Libre (needs Common Voice or recording)
гледиште,гледиште,No audio in Lingua Libre (needs Common Voice or recording)
мерењето,мерењето,No audio in Lingua Libre (needs Common Voice or recording)
трае,трае,No audio in Lingua Libre (needs Common Voice or recording)
јулијански,јулијански,No audio in Lingua Libre (needs Common Voice or recording)
продолжениот,продолжениот,No audio in Lingua Libre (needs Common Voice or recording)
создавањето,создавањето,No audio in Lingua Libre (needs Common Voice or recording)
мери,мери,No audio in Lingua Libre (needs Common Voice or recording)
исламскиот,исламскиот,No audio in Lingua Libre (needs Common Voice or recording)
будистичкиот,будистичкиот,No audio in Lingua Libre (needs Common Voice or recording)
кинескиот,кинескиот,No audio in Lingua Libre (needs Common Voice or recording)
еврејскиот,еврејскиот,No audio in Lingua Libre (needs Common Voice or recording)
асирскиот,асирскиот,No audio in Lingua Libre (needs Common Voice or recording)
византискиот,византискиот,No audio in Lingua Libre (needs Common Voice or recording)
сметаат,сметаат,No audio in Lingua Libre (needs Common Voice or recording)
светот,светот,No audio in Lingua Libre (needs Common Voice or recording)
ја,ја,No audio in Lingua Libre (needs Common Voice or recording)
други,други,No audio in Lingua Libre (needs Common Voice or recording)
објектот,објектот,No audio in Lingua Libre (needs Common Voice or recording)
тоа,тоа,No audio in Lingua Libre (needs Common Voice or recording)
протега,протега,No audio in Lingua Libre (needs Common Voice or recording)
додека,додека,No audio in Lingua Libre (needs Common Voice or recording)
пред,пред,No audio in Lingua Libre (needs Common Voice or recording)
го,го,No audio in Lingua Libre (needs Common Voice or recording)
текот,текот,No audio in Lingua Libre (needs Common Voice or recording)
времето,времето,No audio in Lingua Libre (needs Common Voice or recording)
дека,дека,No audio in Lingua Libre (needs Common Voice or recording)
со,со,No audio in Lingua Libre (needs Common Voice or recording)
започнува,започнува,No audio in Lingua Libre (needs Common Voice or recording)
којшто,којшто,No audio in Lingua Libre (needs Common Voice or recording)
како,како,No audio in Lingua Libre (needs Common Voice or recording)
за,за,No audio in Lingua Libre (needs Common Voice or recording)
годината,годината,No audio in Lingua Libre (needs Common Voice or recording)
според,според,No audio in Lingua Libre (needs Common Voice or recording)
се,се,No audio in Lingua Libre (needs Common Voice or recording)
ја сум од__.,ја сум од__.,No audio in Lingua Libre (needs Common Voice or recording)
добро сум,добро сум,No audio in Lingua Libre (needs Common Voice or recording)
цхао,цхао,No audio in Lingua Libre (needs Common Voice or recording)
фала,фала,No audio in Lingua Libre (needs Common Voice or recording)
од каде си?,од каде си?,No audio in Lingua Libre (needs Common Voice or recording)
жеден сум,жеден сум,No audio in Lingua Libre (needs Common Voice or recording)
Гледен сум,Гледен сум,No audio in Lingua Libre (needs Common Voice or recording)
се гледаме,се гледаме,No audio in Lingua Libre (needs Common Voice or recording)
Уморен сум,Уморен сум,No audio in Lingua Libre (needs Common Voice or recording)
поздравa,поздравa,No audio in Lingua Libre (needs Common Voice or recording)
супер сум,супер сум,No audio in Lingua Libre (needs Common Voice or recording)
како си викаш?,како си викаш?,No audio in Lingua Libre (needs Common Voice or recording)
како си?,како си?,No audio in Lingua Libre (needs Common Voice or recording)
добар вецхер,добар вецхер,No audio in Lingua Libre (needs Common Voice or recording)
добар ден,добар ден,No audio in Lingua Libre (needs Common Voice or recording)
добро утро,добро утро,No audio in Lingua Libre (needs Common Voice or recording)
не сум добро,не сум добро,No audio in Lingua Libre (needs Common Voice or recording)
ја сум,ја сум,No audio in Lingua Libre (needs Common Voice or recording)
здраво,здраво,No audio in Lingua Libre (needs Common Voice or recording)
милијарда,милијарда,No audio in Lingua Libre (needs Common Voice or recording)
двасет и еден,двасет и еден,No audio in Lingua Libre (needs Common Voice or recording)
двасет,двасет,No audio in Lingua Libre (needs Common Voice or recording)
осѕмнаесет,осѕмнаесет,No audio in Lingua Libre (needs Common Voice or recording)
осѕм,осѕм,No audio in Lingua Libre (needs Common Voice or recording)
Која е твојата омилена боја?,Која е твојата омилена боја?,No audio in Lingua Libre (needs Common Voice or recording)
Ова е,Ова е,No audio in Lingua Libre (needs Common Voice or recording)
Која е ова боја?,Која е ова боја?,No audio in Lingua Libre (needs Common Voice or recording)
кафеава,кафеава,No audio in Lingua Libre (needs Common Voice or recording)
виолетова,виолетова,No audio in Lingua Libre (needs Common Voice or recording)
портокалова,портокалова,No audio in Lingua Libre (needs Common Voice or recording)
розоба,розоба,No audio in Lingua Libre (needs Common Voice or recording)
цива,цива,No audio in Lingua Libre (needs Common Voice or recording)
црна,црна,No audio in Lingua Libre (needs Common Voice or recording)
бела,бела,No audio in Lingua Libre (needs Common Voice or recording)
зелена,зелена,No audio in Lingua Libre (needs Common Voice or recording)
плавa,плавa,No audio in Lingua Libre (needs Common Voice or recording)
синa,синa,No audio in Lingua Libre (needs Common Voice or recording)
жолта,жолта,No audio in Lingua Libre (needs Common Voice or recording)
црвена,црвена,No audio in Lingua Libre (needs Common Voice or recording)
