word,confidence,duration,sentence,audio_file,source,license
албумот,0.8989,0.441,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
бакшиш,0.9880,0.541,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
бараат,0.9986,0.422,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
беа,0.9841,0.260,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
биде,0.9987,0.241,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
бил,0.9380,0.241,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
благодарение,0.9855,0.741,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
богат,0.9996,0.381,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
брат,0.9698,0.260,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
брзо,0.9997,0.381,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
буџетот,0.9623,0.502,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
велосипедите,0.9164,0.821,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
вишок,0.9986,0.440,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
власта,0.9993,0.420,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
внимателно,0.9049,0.641,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
во,0.9997,0.160,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
ги,0.9942,0.160,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
глава,0.9949,0.402,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
глетка,0.9105,0.481,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
го,0.9989,0.140,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
градови,0.9996,0.441,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
да,0.9993,0.160,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
дезинфицирање,0.9959,0.921,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
домот,0.9724,0.380,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
допрам,0.9992,0.461,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
друго,0.9977,0.341,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
дупката,0.9855,0.462,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
е,0.9971,0.100,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
еден,0.9992,0.260,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
еднаш,0.7928,0.401,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
економијата,0.9998,0.702,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
ждере,0.9916,0.502,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
за,0.9997,0.160,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
задишано,0.9806,0.642,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
замаглен,0.9995,0.561,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
заминува,0.9881,0.561,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
земеме,0.9923,0.401,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
знаев,0.9933,0.300,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
и,0.9996,0.100,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
играл,0.9231,0.361,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0
изданија,0.9520,0.521,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
излет,0.8379,0.420,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
има,0.9991,0.221,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0
ист,0.9826,0.240,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
историското,0.9943,0.661,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
итни,0.9414,0.281,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
како,0.9987,0.301,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
кај,0.9987,0.200,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
кога,0.9998,0.280,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
кон,0.9995,0.200,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
констатира,0.9998,0.601,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
ледени,0.9994,0.401,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
лица,0.9990,0.300,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
луѓе,0.9879,0.321,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
малку,0.9459,0.341,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
место,0.9998,0.401,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
ми,0.9990,0.160,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0
млад,0.9822,0.381,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
многу,0.9509,0.341,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
мое,0.8167,0.261,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0
можам,0.9647,0.321,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
моите,0.8831,0.382,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
мојата,0.9942,0.382,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
мрдаш,0.9954,0.442,Обиди се да не мрдаш.,common_voice_mk_39663722.mp3,Common Voice 17.0 MK,CC-0
на,0.9997,0.160,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
намерно,0.9993,0.501,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
народ,0.9993,0.340,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
нас,0.6665,0.201,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
наследство,0.9945,0.641,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
насмевка,0.9685,0.583,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0
не,0.9999,0.180,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
несигурен,0.9996,0.641,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
нејзината,0.8911,0.542,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0
ние,0.7117,0.180,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
низ,0.6709,0.220,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
нишо,0.9138,0.321,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
нотес,0.8849,0.401,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0
обиди,0.9969,0.382,Обиди се да не мрдаш.,common_voice_mk_39663722.mp3,Common Voice 17.0 MK,CC-0
огромна,0.9998,0.461,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
од,0.5542,0.160,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
одиме,0.9822,0.360,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
одиш,0.9960,0.341,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
освои,0.9555,0.341,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0
остава,0.9999,0.420,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
откако,0.8999,0.400,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
партии,0.9893,0.442,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0
песни,0.9986,0.402,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
пишува,0.9990,0.461,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
повеќе,0.9588,0.482,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
подоцнежните,0.9317,0.961,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
претрупани,0.9946,0.661,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
припаднав,0.8917,0.621,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
пристапува,0.9998,0.601,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0
пристигна,0.9989,0.542,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
пробав,0.9989,0.401,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
пространства,0.9861,0.722,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0
прстот,0.9992,0.441,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0
разболеното,0.9040,0.741,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
различните,0.9746,0.641,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
рече,0.9831,0.301,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
сакам,0.9959,0.361,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0
се,0.9993,0.160,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0
сега,0.9999,0.301,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
сето,0.9792,0.382,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0
си,0.5619,0.180,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
сиромашен,0.9446,0.621,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
сите,0.9993,0.280,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
случаи,0.9478,0.522,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
сме,0.9776,0.200,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0
со,0.9995,0.160,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
срце,0.4971,0.402,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0
срцето,0.8130,0.502,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0
станеме,0.9993,0.461,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0
стар,0.9799,0.361,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
сѐ,0.9968,0.100,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
таа,0.9981,0.260,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0
те,0.9838,0.160,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0
тие,0.9172,0.240,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
тимот,0.9945,0.381,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0
тоа,0.9899,0.260,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0
тоне,0.9997,0.321,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
тој,0.9683,0.201,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0
трпам,0.9990,0.381,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0
цар,0.6664,0.301,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0
чекор,0.9813,0.401,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
човек,0.9997,0.441,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0
што,0.9995,0.240,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0
ја,0.7526,0.160,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
ќе,0.9975,0.160,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0
