word,confidence,duration,sentence,source,license,status
низ,0.760,0.221,Погледни низ прозор.,Common Voice 17.0 MK,CC-0,extracted
со,0.990,0.161,Со тебе сум сега.,Common Voice 17.0 MK,CC-0,extracted
сме,1.000,0.200,Не мислам дека сме подраниле.,Common Voice 17.0 MK,CC-0,extracted
сите,0.842,0.322,Ме срамиш пред сите.,Common Voice 17.0 MK,CC-0,extracted
тоа,0.774,0.282,Тоа е нов трик.,Common Voice 17.0 MK,CC-0,extracted
се,0.923,0.161,Почна да се смее.,Common Voice 17.0 MK,CC-0,extracted
ги,0.957,0.160,Дај ми ги парите.,Common Voice 17.0 MK,CC-0,extracted
го,0.999,0.140,Не го чуствувам телото.,Common Voice 17.0 MK,CC-0,extracted
што,0.840,0.241,Знам што мислиш за мене.,Common Voice 17.0 MK,CC-0,extracted
повеќе,0.812,0.442,Мислам дека има повеќе.,Common Voice 17.0 MK,CC-0,extracted
како,0.996,0.301,Слушнав како влегуваат возила.,Common Voice 17.0 MK,CC-0,extracted
албумот,0.998,0.441,Албумот може да го преслушате и преземете овде.,Common Voice 17.0 MK,CC-0,extracted
си,0.988,0.181,Работи си ја работата.,Common Voice 17.0 MK,CC-0,extracted
песни,0.999,0.402,Сега моите песни ја бараат мојата глава.,Common Voice 17.0 MK,CC-0,extracted
сега,0.999,0.301,Со тебе сум сега.,Common Voice 17.0 MK,CC-0,extracted
ја,0.845,0.181,Тие ја јадеа тортата.,Common Voice 17.0 MK,CC-0,extracted
нејзината,0.891,0.542,Нејзината насмевка ми го освои срцето.,Common Voice 17.0 MK,CC-0,extracted
овој,0.498,0.340,Претходниот дел е достапен на овој линк.,Common Voice 17.0 MK,CC-0,extracted
речиси,0.918,0.422,Речиси и да не постои филм без бакнеж.,Common Voice 17.0 MK,CC-0,extracted
постојат,0.728,0.482,Не сум сигурен дека постојат уште правила.,Common Voice 17.0 MK,CC-0,extracted
начин,0.991,0.362,Најбезбеден начин на превоз е со авион.,Common Voice 17.0 MK,CC-0,extracted
нив,0.742,0.201,Во секој од нив по еден мртовец.,Common Voice 17.0 MK,CC-0,extracted
музиката,0.962,0.583,Тој е огромен фан на рок музиката.,Common Voice 17.0 MK,CC-0,extracted
му,0.906,0.161,Многу му се налутив.,Common Voice 17.0 MK,CC-0,extracted
потоа,0.999,0.381,"Потоа гола, влажна, му седна во скутот.",Common Voice 17.0 MK,CC-0,extracted
една,0.994,0.300,Една по една куќите му се отуѓуваат.,Common Voice 17.0 MK,CC-0,extracted
треба,0.950,0.341,Сепак треба да е убава.,Common Voice 17.0 MK,CC-0,extracted
неговиот,0.992,0.544,Неговиот вујко го дава во дом.,Common Voice 17.0 MK,CC-0,extracted
само,0.992,0.322,Имам само еден клиент.,Common Voice 17.0 MK,CC-0,extracted
дека,0.999,0.241,Мислам дека има повеќе.,Common Voice 17.0 MK,CC-0,extracted
беше,0.929,0.382,Моја грешка беше.,Common Voice 17.0 MK,CC-0,extracted
нема,0.809,0.301,Нема интернет.,Common Voice 17.0 MK,CC-0,extracted
лудилото,0.993,0.561,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",Common Voice 17.0 MK,CC-0,extracted
после,0.972,0.341,После ме однесоа на некое друго место.,Common Voice 17.0 MK,CC-0,extracted
ова,0.695,0.181,Го сфаќаш ова многу лично.,Common Voice 17.0 MK,CC-0,extracted
имаат,0.973,0.380,Правоаголниците имаат четири линии.,Common Voice 17.0 MK,CC-0,extracted
крајот,0.935,0.442,Небото на крајот од патот е бистро и сино.,Common Voice 17.0 MK,CC-0,extracted
која,0.789,0.261,Ова е соба во која престојуваат книги.,Common Voice 17.0 MK,CC-0,extracted
може,0.995,0.261,Учи само не може да научи.,Common Voice 17.0 MK,CC-0,extracted
освен,0.585,0.361,Освен тоа не треба да бидете овде.,Common Voice 17.0 MK,CC-0,extracted
преку,1.000,0.301,Агентот тајно влезе во амбасадата преку покривот.,Common Voice 17.0 MK,CC-0,extracted
кои,0.684,0.220,"Прво ги нема оние кои биле тука, секогаш.",Common Voice 17.0 MK,CC-0,extracted
пред,0.929,0.241,Ме срамиш пред сите.,Common Voice 17.0 MK,CC-0,extracted
години,0.981,0.421,"Толку години проживеав, и сѐ е потонато.",Common Voice 17.0 MK,CC-0,extracted
меѓутоа,0.999,0.502,"Меѓутоа зошто, чуму ѝ е школа на школа?",Common Voice 17.0 MK,CC-0,extracted
вториот,0.984,0.461,Еквивалент на вториот стандард за убавина за жените не постои.,Common Voice 17.0 MK,CC-0,extracted
веќе,0.937,0.300,"Не можам веќе да те видам, рече таа.",Common Voice 17.0 MK,CC-0,extracted
по,0.958,0.141,Тие трчаа по угорницата.,Common Voice 17.0 MK,CC-0,extracted
различни,1.000,0.621,Пудинг и сладолед се различни јадења.,Common Voice 17.0 MK,CC-0,extracted
настани,0.969,0.521,"Во Скопје има многу кафулиња, но малку културни настани.",Common Voice 17.0 MK,CC-0,extracted
состојба,0.861,0.521,Војната е ужасна состојба за живеење.,Common Voice 17.0 MK,CC-0,extracted
други,0.994,0.301,"Некои мирно, тивко, други со пркос и кавга.",Common Voice 17.0 MK,CC-0,extracted
некои,0.980,0.322,Имам некои многу ретки животни.,Common Voice 17.0 MK,CC-0,extracted
цел,0.923,0.241,Јован го има прошетано цел свет.,Common Voice 17.0 MK,CC-0,extracted
првиот,0.519,0.422,Линк до првиот дел од поезијата тука.,Common Voice 17.0 MK,CC-0,extracted
така,0.826,0.281,Така го сонувам сонот на мојот сон.,Common Voice 17.0 MK,CC-0,extracted
воопшто,0.937,0.481,Воопшто кај него не се знаеше лутина.,Common Voice 17.0 MK,CC-0,extracted
неговата,0.995,0.463,Неговата облека е мала.,Common Voice 17.0 MK,CC-0,extracted
околу,0.802,0.322,Две кучиња околу нас играа.,Common Voice 17.0 MK,CC-0,extracted
луѓето,0.856,0.462,Јас сум тој кој ги разголува луѓето!,Common Voice 17.0 MK,CC-0,extracted
сонцето,0.997,0.563,Сонцето изгреа рано.,Common Voice 17.0 MK,CC-0,extracted
рано,0.994,0.321,Сонцето изгреа рано.,Common Voice 17.0 MK,CC-0,extracted
неа,0.619,0.281,Мислам дека си имал авантура со неа.,Common Voice 17.0 MK,CC-0,extracted
започнува,0.996,0.621,Еден од нас започнува да и ги стиска цицките.,Common Voice 17.0 MK,CC-0,extracted
заедно,0.591,0.401,Беше подобро додека бевме заедно во едно тело.,Common Voice 17.0 MK,CC-0,extracted
библијата,0.999,0.722,Библијата никаде јасно не издвојува одредена форма на брак.,Common Voice 17.0 MK,CC-0,extracted
јасно,0.989,0.421,"Тоа беше толку јасно, што немаше простор за преиспитување.",Common Voice 17.0 MK,CC-0,extracted
поради,0.868,0.341,Се уплашив поради неговото викање.,Common Voice 17.0 MK,CC-0,extracted
работи,0.972,0.483,Работи си ја работата.,Common Voice 17.0 MK,CC-0,extracted
очекува,0.998,0.701,"Не очекува за возврат емоции, само ветувања, што нема да ги исполнам.",Common Voice 17.0 MK,CC-0,extracted
тешка,0.984,0.481,"Но не мрачна и тешка, туку игриво детска.",Common Voice 17.0 MK,CC-0,extracted
оваа,0.935,0.282,Оваа слика е чиста уметност.,Common Voice 17.0 MK,CC-0,extracted
нејзините,0.810,0.582,Би ги пуштил моите листови да се лозат низ нејзините бедра.,Common Voice 17.0 MK,CC-0,extracted
песната,0.891,0.503,Песната е многу убава.,Common Voice 17.0 MK,CC-0,extracted
неговото,0.800,0.482,Се уплашив поради неговото викање.,Common Voice 17.0 MK,CC-0,extracted
меѓу,0.763,0.300,Јања официјално не се вбројува меѓу пушачите.,Common Voice 17.0 MK,CC-0,extracted
уште,0.872,0.302,Таа одлука сѐ уште е на сила.,Common Voice 17.0 MK,CC-0,extracted
две,0.999,0.221,Две кучиња околу нас играа.,Common Voice 17.0 MK,CC-0,extracted
додека,0.758,0.401,Додека била млада била убава.,Common Voice 17.0 MK,CC-0,extracted
под,0.913,0.240,Крушата под круша паѓа.,Common Voice 17.0 MK,CC-0,extracted
некој,0.910,0.282,Ќе има некој концерт наскоро?,Common Voice 17.0 MK,CC-0,extracted
светот,0.996,0.401,Светот не може да се замисли подобро.,Common Voice 17.0 MK,CC-0,extracted
фала,0.996,0.341,"Фала ти, сине, од сто едини си што застана.",Common Voice 17.0 MK,CC-0,extracted
втора,0.998,0.421,"Тогаш започнува нејзината втора немост, која ја подразбираме во длабоката тага на природата.",Common Voice 17.0 MK,CC-0,extracted
верзии,0.908,0.482,"Постојат секакви верзии, па дури и порно верзии.",Common Voice 17.0 MK,CC-0,extracted
па,0.836,0.160,Малку требаше па да положи.,Common Voice 17.0 MK,CC-0,extracted
физички,0.969,0.561,"Се настрвив кон него, иако беше сосем немоќен, го напаѓав физички.",Common Voice 17.0 MK,CC-0,extracted
иако,0.999,0.301,Иако сме малкумина не се предаваме.,Common Voice 17.0 MK,CC-0,extracted
градот,0.921,0.403,Битола е градот на конзулите.,Common Voice 17.0 MK,CC-0,extracted
земјата,0.999,0.442,Антарктикот е најладното место на Земјата.,Common Voice 17.0 MK,CC-0,extracted
текот,0.999,0.381,"Во текот на тие неколку минути, оружјето сосема замолкна.",Common Voice 17.0 MK,CC-0,extracted
времето,0.999,0.482,Наслепо силум ја сочи времето смртта трома.,Common Voice 17.0 MK,CC-0,extracted
добро,0.949,0.361,Добро ама сите си легнале.,Common Voice 17.0 MK,CC-0,extracted
станува,0.847,0.503,Тој станува со кокошките.,Common Voice 17.0 MK,CC-0,extracted
страна,1.000,0.421,"Од другата страна на оваа уметничка паричка, имаше една сосема поинаква ликовна приказна.",Common Voice 17.0 MK,CC-0,extracted
понатаму,0.969,0.622,Го пробија со големи маки трнакот и продолжија понатаму.,Common Voice 17.0 MK,CC-0,extracted
неговите,0.999,0.541,На прославата не дојдоа ни неговите другари.,Common Voice 17.0 MK,CC-0,extracted
текстови,0.966,0.480,"Покрај стручните текстови и коментарите, пишува поезија и проза, како и приказни за сликовници.",Common Voice 17.0 MK,CC-0,extracted
пак,0.956,0.221,"Нема да бидам суперхерој, ниту пак херој.",Common Voice 17.0 MK,CC-0,extracted
избројана,0.777,0.601,Ќе станам избројана крава во стадото на краварот.,Common Voice 17.0 MK,CC-0,extracted
оној,0.557,0.241,Најдобар режисер е оној што не го гледате.,Common Voice 17.0 MK,CC-0,extracted
пеколот,0.870,0.502,Студен нека е оној што во пеколот би уживал.,Common Voice 17.0 MK,CC-0,extracted
престолот,0.997,0.602,Хамлет е добар син и наследник на престолот.,Common Voice 17.0 MK,CC-0,extracted
слична,0.987,0.462,Убавината на момчето е слична на убавината на девојчињата.,Common Voice 17.0 MK,CC-0,extracted
милиони,0.998,0.461,Австралиските филмови се снимаат со мал буџет од пет до десет милиони долари.,Common Voice 17.0 MK,CC-0,extracted
скоро,0.990,0.362,Скоро имаше заборавено со кого си има работа.,Common Voice 17.0 MK,CC-0,extracted
зашто,0.457,0.341,Не знаев зашто си болен.,Common Voice 17.0 MK,CC-0,extracted
при,0.936,0.200,Масата при која седеше беше прекриена со зелена чоја.,Common Voice 17.0 MK,CC-0,extracted
познати,0.901,0.482,Емотиконите им се познати на сите.,Common Voice 17.0 MK,CC-0,extracted
често,0.833,0.341,"Па така, јас често знам да исчезнам.",Common Voice 17.0 MK,CC-0,extracted
единствена,0.902,0.642,"Ти си ми единствена инспирација, како не разбираш?",Common Voice 17.0 MK,CC-0,extracted
според,0.992,0.381,Зборовите се групираат во зборовни групи според заеднички карактеристики.,Common Voice 17.0 MK,CC-0,extracted
огнот,0.839,0.421,Маѓосникот грижливо го чуваше огнот.,Common Voice 17.0 MK,CC-0,extracted
помеѓу,0.970,0.442,Тогаш некој љубоморно се испречи помеѓу нив.,Common Voice 17.0 MK,CC-0,extracted
ѕвезди,0.959,0.602,Ќе те соблечам и ќе те опколам со ѕвезди.,Common Voice 17.0 MK,CC-0,extracted
останатите,0.994,0.681,Дали можеби аполитичноста и апатијата кај останатите е она што треба да се промени?,Common Voice 17.0 MK,CC-0,extracted
биле,0.944,0.280,"Прво ги нема оние кои биле тука, секогаш.",Common Voice 17.0 MK,CC-0,extracted
случува,0.963,0.441,Тоа се случува кога лебдиш во простор заслушан во евангелијата на свитите ѕвезди.,Common Voice 17.0 MK,CC-0,extracted
браќата,0.976,0.480,Преку таа модернизација на црквата попот и браќата го популаризираа одењето во црква.,Common Voice 17.0 MK,CC-0,extracted
нејзиното,0.786,0.521,"Антигона дејствува, но што е нејзиното дело?",Common Voice 17.0 MK,CC-0,extracted
наоѓа,0.919,0.361,Зад него се наоѓа прозорец со решетки.,Common Voice 17.0 MK,CC-0,extracted
била,1.000,0.260,Додека била млада била убава.,Common Voice 17.0 MK,CC-0,extracted
почеток,0.998,0.481,Но тоа беше само почеток на неговиот богат сексуален живот.,Common Voice 17.0 MK,CC-0,extracted
орбита,0.994,0.481,Земјата кружи по патеката на својата орбита околу сонцето.,Common Voice 17.0 MK,CC-0,extracted
нивното,0.978,0.461,"Така, многу крваво завршува историјата на семејството и нивното владеење.",Common Voice 17.0 MK,CC-0,extracted
понекогаш,0.980,0.643,Понекогаш погледот ти е како туѓ јазик.,Common Voice 17.0 MK,CC-0,extracted
викенд,0.816,0.361,Претходниот викенд ми беше најубавиот викенд во животот.,Common Voice 17.0 MK,CC-0,extracted
станала,0.995,0.482,Таа би станала љубоморна и би те разоткрила.,Common Voice 17.0 MK,CC-0,extracted
првото,1.000,0.402,Првото дете нека им биде машко.,Common Voice 17.0 MK,CC-0,extracted
себеси,0.893,0.421,Кога ќе се погледаш себеси низ гробот?,Common Voice 17.0 MK,CC-0,extracted
почетокот,0.996,0.562,"Потоа дојдоа зборовите, десетерецот од почетокот на песната.",Common Voice 17.0 MK,CC-0,extracted
нивната,0.961,0.403,"Од стомакот на нивната мајка, вели мама.",Common Voice 17.0 MK,CC-0,extracted
последна,0.999,0.562,Сакам да го испијам летото до последна капка.,Common Voice 17.0 MK,CC-0,extracted
музичката,1.000,0.622,Но се чини дека тие термини исчезнаа од музичката терминологија.,Common Voice 17.0 MK,CC-0,extracted
уништи,0.965,0.441,Пред смртта тој ја замолил својата сопруга да го уништи.,Common Voice 17.0 MK,CC-0,extracted
воедно,0.999,0.441,Воедно и глумците на големите платна сѐ поретко се совршени кукли.,Common Voice 17.0 MK,CC-0,extracted
ретко,0.880,0.361,Ретко лаже во животот и во песните.,Common Voice 17.0 MK,CC-0,extracted
обично,0.999,0.421,Обично за вакви карактерни улоги актерите се размислуваат.,Common Voice 17.0 MK,CC-0,extracted
верзија,0.968,0.461,Александра Јанева со фановите направија нова верзија на „Еве ме пак“,Common Voice 17.0 MK,CC-0,extracted
црна,0.786,0.361,Едно од нив сугерира црна облека за да се избегне апсењето.,Common Voice 17.0 MK,CC-0,extracted
целосно,0.919,0.501,"Печката е целосно црна од маснотија, а исто така и сите ѕидови поради пареата.",Common Voice 17.0 MK,CC-0,extracted
вели,0.972,0.302,"Од стомакот на нивната мајка, вели мама.",Common Voice 17.0 MK,CC-0,extracted
истата,0.999,0.442,"Принудени сме да ја правиме истата работа, одново и одново.",Common Voice 17.0 MK,CC-0,extracted
ниво,1.000,0.280,"Пиктограмите се цртежи на предметите, а на јазично ниво тие одговараат на речениците.",Common Voice 17.0 MK,CC-0,extracted
бројни,0.995,0.401,Вакуумот се користи во бројни процеси и уреди.,Common Voice 17.0 MK,CC-0,extracted
прво,0.677,0.300,"Прво ги нема оние кои биле тука, секогаш.",Common Voice 17.0 MK,CC-0,extracted
омилена,0.989,0.421,Како да сакам да сум дел од мојата омилена книга.,Common Voice 17.0 MK,CC-0,extracted
гледаме,0.786,0.400,"Ние сепак гледаме дека тоа е глума, дека е лажно дека е само маска.",Common Voice 17.0 MK,CC-0,extracted
народи,0.707,0.461,"Тоа е интересно, не очекувате врска помеѓу толку далечни народи.",Common Voice 17.0 MK,CC-0,extracted
иста,0.878,0.301,"Сега се на иста ливада, и маркетите и црквите.",Common Voice 17.0 MK,CC-0,extracted
бројот,0.500,0.360,Учеството е бесплатно и бројот на учесници не е ограничен.,Common Voice 17.0 MK,CC-0,extracted
првата,0.859,0.462,Првата вечер ми се спиеше рано.,Common Voice 17.0 MK,CC-0,extracted
елементи,1.000,0.541,Во еден анаграм сите елементи постојат во симултана поврзаност.,Common Voice 17.0 MK,CC-0,extracted
нивните,0.962,0.421,Журката во нивните глави одлучија да ја изживеат преку нивните дисторзирани собиранки.,Common Voice 17.0 MK,CC-0,extracted
оние,0.634,0.281,Сето тоа е поради оние кавгаџиски кучиња.,Common Voice 17.0 MK,CC-0,extracted
типот,0.931,0.381,Затоа што е прашање од типот на оние кои ги третира античката трагедија.,Common Voice 17.0 MK,CC-0,extracted
претставува,0.794,0.601,"Требаше да станам уметничка, но ни уметноста не смееше да ми претставува радост.",Common Voice 17.0 MK,CC-0,extracted
викаш,0.967,0.382,Не е доволно некој да те роди за да го викаш мајка.,Common Voice 17.0 MK,CC-0,extracted
наречен,0.902,0.501,"Последицата од театарот наречен отсуство на марксистичката филозофија, започнува овде.",Common Voice 17.0 MK,CC-0,extracted
забележува,0.940,0.582,Седи така замислен кога одеднаш забележува чудни сенки на ѕидот.,Common Voice 17.0 MK,CC-0,extracted
грижа,0.992,0.341,"Никому не му е грижа кој си, ниту што мислиш.",Common Voice 17.0 MK,CC-0,extracted
одликува,0.873,0.502,Неговата проза се одликува со силна автобиографска обоеност.,Common Voice 17.0 MK,CC-0,extracted
сметаат,0.640,0.441,Многу луѓе сметаат дека компјутерите никогаш нема да имаат чувства.,Common Voice 17.0 MK,CC-0,extracted
следи,0.998,0.401,Аманда трча позади една дина и еден од нас ја следи.,Common Voice 17.0 MK,CC-0,extracted
поинаку,0.864,0.501,Времето поинаку ми тече и никогаш не сум сакала да мешам зборови и бројки.,Common Voice 17.0 MK,CC-0,extracted
чека,0.953,0.362,Сандра ме чека на дното на улицата.,Common Voice 17.0 MK,CC-0,extracted
зелена,0.939,0.441,Масата при која седеше беше прекриена со зелена чоја.,Common Voice 17.0 MK,CC-0,extracted
земе,0.902,0.321,"Како и да се земе, тоа би било добар знак.",Common Voice 17.0 MK,CC-0,extracted
доцна,0.409,0.401,Каде одиш олку доцна?,Common Voice 17.0 MK,CC-0,extracted
посветена,0.959,0.541,Беше навистина добра мајка и посветена сопруга.,Common Voice 17.0 MK,CC-0,extracted
свои,0.617,0.240,"Колку орал толку јадел, со свои раце леб си вадел.",Common Voice 17.0 MK,CC-0,extracted
изведуваат,0.805,0.681,Изгледа дека музичките перформанси кои ги изведуваат предмети станаа вистински хит.,Common Voice 17.0 MK,CC-0,extracted
електрични,0.981,0.721,Во иднина сите автомобили ќе бидат електрични.,Common Voice 17.0 MK,CC-0,extracted
новиот,0.939,0.382,Ви честитам за новиот бизнис.,Common Voice 17.0 MK,CC-0,extracted
смета,0.909,0.402,Зошто смета дека таа перспектива сѐ уште не е исцрпена?,Common Voice 17.0 MK,CC-0,extracted
мали,0.974,0.381,Од зрната билки мали - летен сончев зрак ги гали.,Common Voice 17.0 MK,CC-0,extracted
бензинска,0.890,0.562,На оваа бензинска пумпа постојат четири различни видови гориво.,Common Voice 17.0 MK,CC-0,extracted
раскажува,0.850,0.582,Една старица секое утро ќе раскажува за нас во чекалната.,Common Voice 17.0 MK,CC-0,extracted
споменува,0.999,0.583,Со наздравица се споменува монархот и иднината.,Common Voice 17.0 MK,CC-0,extracted
здраво,0.983,0.361,Како да му објасниш на едномесечно бебе дека не е здраво да гнете навечер.,Common Voice 17.0 MK,CC-0,extracted
нивни,0.803,0.321,Научи ги сите нивни тајни и издавај ги.,Common Voice 17.0 MK,CC-0,extracted
информации,0.975,0.642,Не сакам ексклузивни информации - сакам инклузивни.,Common Voice 17.0 MK,CC-0,extracted
позната,0.999,0.462,Една позната компанија од Шведска продава мебел во многу земји од светот.,Common Voice 17.0 MK,CC-0,extracted
чест,0.875,0.421,Газ и нос не знаат за чест.,Common Voice 17.0 MK,CC-0,extracted
најде,0.584,0.341,Наеднаш го најде излезот и одлета надвор.,Common Voice 17.0 MK,CC-0,extracted
другите,0.950,0.402,Одлучив да почекам другите да се разотидат.,Common Voice 17.0 MK,CC-0,extracted
бела,0.999,0.341,"Зелката има кошули триста, секоја бела, секоја чиста.",Common Voice 17.0 MK,CC-0,extracted
каже,0.992,0.321,"Ако не сме баш циници, треба да се каже обратното.",Common Voice 17.0 MK,CC-0,extracted
твојата,0.741,0.421,Твојата мајка врти со глава станува и на ова место бесно треска со вратата.,Common Voice 17.0 MK,CC-0,extracted
автори,0.808,0.361,Куросава е еден од најзначајните и најоригиналните автори во јапонската и светската кинематографија.,Common Voice 17.0 MK,CC-0,extracted
пораката,0.876,0.542,Го отворија писмото и ја прочитаа пораката.,Common Voice 17.0 MK,CC-0,extracted
припаѓа,0.895,0.422,"Му припаѓа на општеството, но живее сам.",Common Voice 17.0 MK,CC-0,extracted
напишал,0.973,0.461,"Потоа дојдоа сите настани, промени, и сум заборавил дека такво нешто сум напишал.",Common Voice 17.0 MK,CC-0,extracted
поделени,0.906,0.502,"Книгата е поделена на единаесет поглавја, кои пак се поделени во две поголеми секции.",Common Voice 17.0 MK,CC-0,extracted
поделба,0.712,0.421,"Назначената поделба не повикува на исклучивост, туку само сликовито ја претставува опсежноста на проблемот.",Common Voice 17.0 MK,CC-0,extracted
повикува,0.920,0.461,Поезијата е одглас што ги повикува сенките да заиграат.,Common Voice 17.0 MK,CC-0,extracted
светско,0.982,0.422,Експертите во неговото творештво го наоѓаат осмото светско чудо.,Common Voice 17.0 MK,CC-0,extracted
слушаат,0.559,0.481,Сите се смеат кога ја слушаат таа приказна.,Common Voice 17.0 MK,CC-0,extracted
близина,0.864,0.502,"Чувствуваше и некаква смрдеа, како нешто да гние во близина.",Common Voice 17.0 MK,CC-0,extracted
големата,1.000,0.481,Големата капка зачмаја во дното и почна да ја губи својата живост.,Common Voice 17.0 MK,CC-0,extracted
прва,0.999,0.301,Пакетот за прва помош што ми го испрати пристигна токму на време.,Common Voice 17.0 MK,CC-0,extracted
значајни,0.980,0.461,Мислеа дека на нејзиниот животен список се редеа само значајни успеси и награди.,Common Voice 17.0 MK,CC-0,extracted
тема,0.999,0.301,Многу блогови овозможуваат коментирање на одредена тема.,Common Voice 17.0 MK,CC-0,extracted
обработува,0.981,0.542,"Документарецот е составен од три дела, од кои секој обработува една интересна тема.",Common Voice 17.0 MK,CC-0,extracted
годината,0.999,0.521,Токио е толку влажен ова време од годината.,Common Voice 17.0 MK,CC-0,extracted
џејмс,0.787,0.421,"Џејмс Ват не ја измислил парната машина, но значително ја подобрил.",Common Voice 17.0 MK,CC-0,extracted
брза,0.905,0.361,"Мамурно утро ме брза на работа, а сакам чорба.",Common Voice 17.0 MK,CC-0,extracted
избор,0.993,0.362,Убеден сум дека не нашол друг избор.,Common Voice 17.0 MK,CC-0,extracted
живо,0.996,0.301,Само старци и заскитани славеници кои го пијат првото утринско сонце како живо јајце.,Common Voice 17.0 MK,CC-0,extracted
гледиште,0.826,0.521,Ми се чини дека ова гледиште води сметка само за крајностите.,Common Voice 17.0 MK,CC-0,extracted
води,0.898,0.240,Ми се чини дека ова гледиште води сметка само за крајностите.,Common Voice 17.0 MK,CC-0,extracted
боговите,0.907,0.541,"Соочени во мачна неизвесност, тишината меѓу нас ја нарушуваат само боговите.",Common Voice 17.0 MK,CC-0,extracted
плоча,0.927,0.401,Цепелинот бил испечатен и на самата грамофонска плоча.,Common Voice 17.0 MK,CC-0,extracted
ѓаволот,0.680,0.462,"Ѓаволот ни копа ни ора, само ги учи луѓето да се караат.",Common Voice 17.0 MK,CC-0,extracted
критика,1.000,0.462,"Авангардата тоа го потврдува и ја антиципира постмодерната која, пак, е критика на модерната.",Common Voice 17.0 MK,CC-0,extracted
гитарата,0.885,0.541,Навистина ме интересира гитарата и веќе седум месеци доаѓам на часови.,Common Voice 17.0 MK,CC-0,extracted
мошне,0.846,0.401,"Породувањето било мошне тешко, бидејќи новороденчето цело време просто се гушело од смеење.",Common Voice 17.0 MK,CC-0,extracted
текстот,0.972,0.482,Има некој принцип што го организира текстот.,Common Voice 17.0 MK,CC-0,extracted
самите,0.999,0.422,Ни самите дадаисти не ја избегнале оваа противречност.,Common Voice 17.0 MK,CC-0,extracted
колена,0.996,0.442,Девојчето се сместува на колена во задниот дел од аквариумот.,Common Voice 17.0 MK,CC-0,extracted
човечката,0.998,0.581,Верата е победа на теологијата над човечката слабост.,Common Voice 17.0 MK,CC-0,extracted
свират,0.833,0.361,"Пијанистите ги тркалалале акордите, наместо да ги свират во еден здив.",Common Voice 17.0 MK,CC-0,extracted
групата,1.000,0.441,"Потрошувачката е голема, но групата што троши е мала.",Common Voice 17.0 MK,CC-0,extracted
молат,0.925,0.423,Нема да попуштам дури и да ме молат.,Common Voice 17.0 MK,CC-0,extracted
целокупната,0.962,0.702,Станува збор за одличен албум и настан во ова невреме за целокупната македонска култура.,Common Voice 17.0 MK,CC-0,extracted
невреме,0.994,0.461,Станува збор за одличен албум и настан во ова невреме за целокупната македонска култура.,Common Voice 17.0 MK,CC-0,extracted
